experiment, dataset, trainingset, accuracy, loss
0.6, mnist+gan, mnist+gan, 0.9906533359999999, 0.0343685056
0.6, mnist+gan, mnist, 0.9903474299999999, 0.037358770799999996
0.6, mnist, font, 0.9913599999999999, 0.0311479022
0.6, mnist, gan, 0.7756399999999999, 1.30079656
0.6, mnist, mnist+gan, 0.9029945500000001, 0.8315025540000001
0.6, mnist, mnist, 0.9756801039999999, 0.17873429200000002
0.7, font, font, 0.8664999999999999, 1.0461997479999998
0.7, font, gan, 0.9907, 0.029686395799999998
0.7, font, mnist+gan, 0.784159606, 2.11982932
0.7, font, mnist, 0.826960716, 1.4361598599999998
0.7, gan, font, 0.77952, 1.84561226
0.7, gan, gan, 0.6541, 2.85808596
0.7, gan, mnist+gan, 0.9967351900000001, 0.016019726199999997
0.7, gan, mnist, 0.796310294, 1.70064518
0.7, mnist+gan, font, 0.9413199999999999, 0.453807682
0.7, mnist+gan, gan, 0.80694, 1.18590558
0.7, mnist+gan, mnist+gan, 0.9954050759999999, 0.016266546799999997
0.7, mnist+gan, mnist, 0.9905954920000001, 0.0371298326
0.7, mnist, font, 0.9917999999999999, 0.030074320200000004
0.7, mnist, gan, 0.7811999999999999, 1.3566788600000002
0.7, mnist, mnist+gan, 0.8020556400000001, 3.0422728999999995
0.7, mnist, mnist, 0.9649733920000001, 0.46678906800000003
0.8, font, font, 0.84954, 0.9884171736
0.8, font, gan, 0.98916, 0.03624432
0.8, font, mnist+gan, 0.6974637659999999, 2.57743796
0.8, font, mnist, 0.799711802, 1.37609756
0.8, gan, font, 0.8187599999999999, 0.954453834
0.8, gan, gan, 0.6079600000000001, 2.90914502
0.8, gan, mnist+gan, 0.9746376760000001, 0.094075776
0.8, gan, mnist, 0.8391570700000001, 0.797153354
0.8, mnist+gan, font, 0.95634, 0.20963388260000002
0.8, mnist+gan, gan, 0.82606, 1.053714658
0.8, mnist+gan, mnist+gan, 0.978079722, 0.114775132
0.8, mnist+gan, mnist, 0.9877521699999999, 0.049775833000000005
0.8, mnist, font, 0.9915, 0.0300879234
0.8, mnist, gan, 0.79256, 1.3051182
0.8, mnist, mnist+gan, 0.79329711, 2.6107149
0.8, mnist, mnist, 0.972604462, 0.303530446
0.9, font, font, 0.82774, 0.8325028026
0.9, font, gan, 0.9800000000000001, 0.0603268938
0.9, font, mnist+gan, 0.743580484, 1.07862124
0.9, font, mnist, 0.7871884800000001, 1.0190309320000002
0.9, gan, font, 0.81192, 0.962717192
0.9, gan, gan, 0.5252399999999999, 2.7297368399999997
0.9, gan, mnist+gan, 0.990235088, 0.035774352999999995
0.9, gan, mnist, 0.8208660919999999, 0.931036786
0.9, mnist+gan, font, 0.9528599999999999, 0.2369910776
0.9, mnist+gan, gan, 0.8030800000000001, 1.2058594
0.9, mnist+gan, mnist+gan, 0.983363456, 0.054140574600000005
0.9, mnist+gan, mnist, 0.99077041, 0.033601601599999996
0.9, mnist, font, 0.99146, 0.030700108400000002
0.9, mnist, gan, 0.80024, 1.2174802599999999
0.9, mnist, mnist+gan, 0.8672694400000001, 1.62239026
0.9, mnist, mnist, 0.985008998, 0.12046446079999999
